time f6p dhap g3p 3pg g6p f16bp
61 30.8791 37.7273 185.333 127.807 133.696 50
62 32.0879 37.0455 185.222 123.223 134.783 43.9896
63 31.5385 37.9545 198.778 114.884 133.37 37.8756
64 32.3077 38.75 212.667 101.03 128.587 35.3368
65 30.4396 38.6364 216.778 80 122.5 33.3679
66 32.5275 38.2955 228.222 65.4485 119.348 30.2591
67 29.3407 37.7273 229.333 53.5216 118.152 33.4715
68 29.5604 36.9318 232.111 47.6412 119.783 35.7513
69 27.8022 40.3409 224.333 45.9801 119.348 36.0622
70 26.9231 40.3409 208.778 47.3754 117.717 39.7409
75 30.5495 39.5455 167.889 84.0864 129.348 58.1865
80 32.8571 35.4545 142.556 94.2193 127.5 73.886
90 29.1209 32.7273 120.889 81.6611 123.043 85.3886
100 29.3407 27.9545 102.222 73.4219 125.652 100.725
