time h A h_sea a Q_f W_Dir W_Vel
0 0.32 232304000 0.760 1.000 65.663 120 8.0
0.04 0.32 232304000 0.710 1.000 65.663 120 7.0
0.08 0.31 233127000 0.560 1.000 65.663 120 7.0
0.12 0.31 233127000 0.350 1.000 65.663 120 7.0
0.16 0.30 233950000 0.090 9.000 65.663 120 7.0
0.2 0.30 233950000 -0.170 9.000 65.663 120 7.0
0.24 0.29 235232000 -0.300 9.000 65.663 120 7.0
0.28 0.29 235232000 -0.260 9.000 65.663 120 8.0
0.32 0.29 235232000 -0.120 9.000 65.663 120 8.0
0.36 0.28 236514000 -0.090 9.000 65.663 130 8.0
0.4 0.28 236514000 0.120 9.000 65.663 130 8.0
0.44 0.28 236514000 0.310 9.000 65.663 110 9.0
0.48 0.29 235232000 0.590 1.000 66.074 130 7.0
0.52 0.28 236514000 0.630 1.000 66.485 120 7.0
0.56 0.28 236514000 0.570 1.000 66.896 120 7.0
0.6 0.28 236514000 0.420 1.000 67.307 130 8.0
0.64 0.26 239078000 0.260 9.000 67.718 120 10.0
0.68 0.28 236514000 0.010 9.000 68.129 120 10.0
0.72 0.29 235232000 -0.190 9.000 68.539 120 11.0
0.76 0.28 236514000 -0.090 9.000 68.950 130 11.0
0.8 0.29 235232000 0.050 9.000 69.361 130 11.0
0.84 0.28 236514000 0.050 9.000 69.772 140 10.0
0.88 0.26 239078000 0.180 9.000 70.183 140 9.0
0.92 0.29 235232000 0.390 9.000 70.594 140 9.0
0.96 0.28 236514000 0.630 1.000 71.005 130 9.0
1 0.26 239078000 0.680 1.000 71.416 140 9.0
1.04 0.26 239078000 0.690 1.000 71.827 140 6.0
1.08 0.28 236514000 0.570 1.000 72.238 130 9.0
1.12 0.26 239078000 0.350 1.000 72.649 140 9.0
1.16 0.26 239078000 0.140 9.000 73.060 130 10.0
1.2 0.27 237796000 -0.120 9.000 73.470 130 9.0
1.24 0.27 237796000 -0.170 9.000 73.881 140 9.0
1.28 0.26 239078000 -0.010 9.000 74.292 140 10.0
1.32 0.25 240360000 0.050 9.000 74.703 140 8.0
1.36 0.27 237796000 0.060 9.000 75.114 150 7.0
1.4 0.26 239078000 0.260 9.000 75.525 150 10.0
1.44 0.27 237796000 0.530 1.000 75.035 150 9.0
1.48 0.27 237796000 0.760 1.000 74.545 160 8.0
1.52 0.25 240360000 0.850 1.000 74.054 160 9.0
