JD NO3 PO4 chla P ice PAR SST PUR MAXTEMP MINTEMP
292 31.299 2.177 0.1165 10.485 0.58 438 -1.275 175.2 0.3 -1.8
293 31.28677273 2.1785 0.1165 10.485 0.7 530 -1.275 212 0.3 -1.8
294 31.18340404 2.175666667 0.1165 10.485 0.79 662 -1.5 264.8 0.3 -1.8
295 31.18340404 2.175666667 0.1165 10.485 0.84 605 -1.5 242 0.3 -1.8
296 31.18340404 2.175666667 0.1165 10.485 0.87 582 -1.5 232.8 0.3 -1.8
297 31.18340404 2.175666667 0.1165 10.485 0.88 533 -1.5 213.2 0.3 -1.8
298 31.07897547 2.171904762 0.15825 14.2425 0.91 696 -1.5 278.4 0.3 -1.8
299 30.98119048 2.167857143 0.15825 14.2425 0.89 605 -1.5 242 0.3 -1.8
300 30.98571429 2.165714286 0.15825 14.2425 0.76 557 -1.5 222.8 0.3 -1.8
301 30.98571429 2.165714286 0.15825 14.2425 0.72 471 -1.5 188.4 0.3 -1.8
302 30.66035714 2.142857143 0.15825 14.2425 0.72 430 -1.5 172 0.3 -1.8
303 30.61208995 2.144497354 0.2 18 0.65 528 -1.5 211.2 0.3 -1.8
304 30.61208995 2.144497354 0.2 18 0.62 628 -1.5 251.2 0.3 -1.8
305 30.61208995 2.144497354 0.2 18 0.61 557 -1.5 222.8 0.3 -1.8
306 30.61208995 2.144497354 0.2 18 0.69 521 -1.5 208.4 0.3 -1.8
307 30.61208995 2.144497354 0.25 22.5 0.76 582 -1.5 232.8 0.3 -1.8
308 30.61208995 2.144497354 0.25 22.5 0.71 500 -1.35 200 0.3 -1.8
309 30.42527778 2.133888889 0.25 22.5 0.88 636 -1.35 254.4 0.3 -1.8
310 30.42527778 2.122592593 0.25 22.5 0.83 669 -1.35 267.6 0.3 -1.8
311 30.42527778 2.122592593 0.25 22.5 0.87 791 -1.35 316.4 0.3 -1.8
312 30.28351852 2.122592593 0.25 22.5 0.46 860 -1.35 344 0.3 -1.8
313 30.25777778 2.123888889 0.25 22.5 0.35 737 -1.35 294.8 0.3 -1.8
314 30 2.1 0.3 27 0.34 716 -1.35 286.4 0.3 -1.8
315 30 2.1 0.3 27 0.31 642 -1.05 256.8 0.3 -1.8
316 30 2.1 0.3 27 0.35 597 -1.05 238.8 0.3 -1.8
317 30 2.1 0.3 27 0.27 633 -1.05 253.2 0.3 -1.8
318 30 2.075 0.3 27 0.39 796 -1.05 318.4 0.3 -1.8
319 30 2.075 0.35 31.5 0.13 833 -1.05 333.2 0.3 -1.8
320 30 2.075 0.35 31.5 0.08 820 -1.05 328 0.3 -1.8
321 30 2.05 0.35 31.5 0 671 -1.05 268.4 0.3 -1.8
322 29.75 2.05 0.35 31.5 0 510 -0.6 204 0.3 -1.8
323 29.5 2.05 0.35 31.5 0 665 -0.6 266 0.3 -1.8
324 29.5 2.05 0.4 36 0 628 -0.6 251.2 0.3 -1.8
325 29.5 2.05 0.4 36 0 633 -0.6 253.2 0.3 -1.8
326 29.5 2.05 0.4 36 0 646 -0.6 258.4 0.3 -1.8
327 29.5 2.025 0.4 36 0 687 -0.6 274.8 0.3 -1.8
328 29.25 2.025 0.45 40.5 0 797 -0.6 318.8 0.3 -1.8
329 29.25 2 0.45 40.5 0 623 -0.15 249.2 0.3 -1.8
330 29.25 2 0.5 45 0 508 -0.15 203.2 0.3 -1.8
331 29.25 2 0.5 45 0 517 -0.15 206.8 0.3 -1.8
332 29.25 2 0.5 45 0 520 -0.15 208 0.3 -1.8
333 29 2 0.5 45 0 539 -0.15 215.6 0.3 -1.8
334 28.75 2 0.5 45 0 567 -0.15 226.8 0.3 -1.8
335 28.75 2 0.55 49.5 0 586 -0.15 234.4 0.3 -1.8
336 28.75 1.975 1.033333333 93 0 621 0.15 248.4 0.3 -1.8
337 28.75 1.975 1.033333333 93 0 571 0.15 228.4 0.3 -1.8
338 28.75 1.95 1.033333333 93 0 596 0.15 238.4 0.3 -1.8
339 28.5 1.95 1.033333333 93 0 779 0.15 311.6 0.3 -1.8
340 28.5 1.95 1.033333333 93 0 853 0.15 341.2 0.3 -1.8
341 28.5 1.95 1.033333333 93 0 894 0.15 357.6 0.3 -1.8
342 28.25 1.95 1.020996188 91.88965688 0 680 0.15 272 0.3 -1.8
343 28.25 1.825 1.170297528 105.3267775 0 751 0.3 300.4 0.3 -1.8
344 28.25 1.825 1.40277774 126.2499966 0 816 0.3 326.4 0.3 -1.8
345 27.89 1.825 1.853947198 166.8552478 0 842 0.3 336.8 0.3 -1.8
346 27.89 1.825 1.853947198 166.8552478 0 928 0.3 371.2 0.3 -1.8
347 27.46777778 1.7 2.185541702 196.6987532 0 833 0.3 333.2 0.3 -1.8
348 26.73111111 1.7 2.53734899 228.3614091 0 921 0.3 368.4 0.3 -1.8
349 25.79258889 1.7 2.53734899 228.3614091 0 1020 0.3 408 0.3 -1.8
350 24.84767824 1.577222222 2.53734899 228.3614091 0 836 0.3 334.4 0.3 -1.8
351 24.64247421 1.520814815 2.814113131 253.2701818 0 875 0.3 350 0.3 -1.8
352 23.86034675 1.473688034 3.46234899 311.6114091 0 1074 0.3 429.6 0.3 -1.8
353 22.39180508 1.409350427 3.855421324 346.9879192 0 882 0.3 352.8 0.3 -1.8
354 21.36779499 1.336688034 4.169879192 375.2891272 0 852 0.3 340.8 0.3 -1.8
355 20.67080121 1.360850427 4.169879192 375.2891272 0 815 0.3 326 0.3 -1.8
356 19.3377103 1.360850427 4.169879192 375.2891272 0 951 0.3 380.4 0.3 -1.8
357 18.74750343 1.360850427 4.41097688 396.9879192 0 803 0.15 321.2 0.3 -1.8
358 18.0544082 1.360850427 4.534777509 408.1299758 0 737 0.15 294.8 0.3 -1.8
359 17.29470491 1.360850427 4.534777509 408.1299758 0 788 0.15 315.2 0.3 -1.8
360 16.7661039 1.370208689 4.534777509 408.1299758 0 855 0.15 342 0.3 -1.8
361 16.5011039 1.342467949 4.534777509 408.1299758 0 847 0.15 338.8 0.3 -1.8
362 15.96091451 1.329361538 4.499508387 404.9557548 0 888 0.15 355.2 0.3 -1.8
363 15.12504431 1.28995 4.851060751 436.5954676 0 780 0.15 312 0.3 -1.8
364 15.20313522 1.295994444 5.193678291 467.4310462 0 701 0.15 280.4 0.3 -1.8
365 15.7648535 1.264097934 5.522240728 497.0016655 0 784 0.15 313.6 0.3 -1.8
366 15.2709574 1.093264601 5.85298701 526.7688309 0 736 0.15 294.4 0.3 -1.8
367 15.35314405 1.093264601 5.85298701 526.7688309 0 738.3 0.15 295.32 0.3 -1.8
368 15.63177841 1.093264601 6.132633391 551.9370051 0 747.8 0.15 299.12 0.3 -1.8
369 15.21083999 1.093264601 6.359160069 572.3244062 0 821.1 0.15 328.44 0.3 -1.8
370 15.07462071 1.093264601 6.359160069 572.3244062 0 827 0.15 330.8 0.3 -1.8
371 14.88307601 0.940431268 6.204433391 558.3990051 0 751.9 0.15 300.76 0.3 -1.8
372 14.41806621 0.870917521 6.304542906 567.4088616 0 719.2 0.15 287.68 0.3 -1.8
373 13.6552911 0.870917521 5.896142906 530.6528616 0 768.4 0.15 307.36 0.3 -1.8
374 15.14342735 0.804834402 5.712166724 514.0950051 0 779.1 0.15 311.64 0.3 -1.8
