d temp PURe PURc ice NO3 PO4 chla P
292 -1.83 128.8 90.49 0.7 31.3 2.18 0.12 10.8
293 -1.83 134.1 94.23 0.7 31.29 2.18 0.12 10.8
294 -1.82 138 97.58 0.7 31.18 2.18 0.12 10.8
295 -1.81 141.9 100.3 0.71 31.18 2.18 0.12 10.8
296 -1.79 145.8 103.1 0.71 31.18 2.18 0.12 10.8
297 -1.79 149.8 105.8 0.72 31.18 2.18 0.12 10.8
298 -1.76 153.7 108.5 0.72 31.08 2.17 0.16 14.4
299 -1.81 157.4 111.2 0.71 30.98 2.17 0.16 14.4
300 -1.79 161.1 114 0.7 30.99 2.17 0.16 14.4
301 -1.81 164.8 116.8 0.68 30.99 2.17 0.16 14.4
302 -1.82 168.5 119.6 0.67 30.66 2.14 0.16 14.4
303 -1.79 172.1 122.5 0.66 30.61 2.14 0.2 18
304 -1.82 175.6 125.3 0.66 30.61 2.14 0.2 18
305 -1.81 178.9 127.9 0.67 30.61 2.14 0.2 18
306 -1.8 182.3 130.6 0.67 30.61 2.14 0.2 18
307 -1.82 185.6 133.2 0.68 30.61 2.14 0.25 22.5
308 -1.81 188.8 135.7 0.68 30.61 2.14 0.25 22.5
309 -1.82 194.2 138.9 0.67 30.43 2.13 0.25 22.5
310 -1.82 199.7 143 0.65 30.43 2.12 0.25 22.5
311 -1.82 205.2 147.2 0.64 30.43 2.12 0.25 22.5
312 -1.82 210.9 151.4 0.62 30.28 2.12 0.25 22.5
313 -1.82 216.6 155.7 0.61 30.26 2.12 0.25 22.5
314 -1.82 225.5 160.6 0.59 30 2.1 0.3 27
315 -1.81 233 166.5 0.58 30 2.1 0.3 27
316 -1.8 239.3 171.6 0.56 30 2.1 0.3 27
317 -1.79 244.6 175.9 0.55 30 2.1 0.3 27
318 -1.79 249.3 179.8 0.53 30 2.08 0.3 27
319 -1.78 249 182.1 0.51 30 2.08 0.35 31.5
320 -1.78 249 182.2 0.48 30 2.08 0.35 31.5
321 -1.77 248.7 182.3 0.46 30 2.05 0.35 31.5
322 -1.77 248.5 182.3 0.43 29.75 2.05 0.35 31.5
323 -1.76 248.3 182.3 0.41 29.5 2.05 0.35 31.5
324 -1.74 249.7 182.7 0.38 29.5 2.05 0.4 36
325 -1.72 251.1 183.9 0.35 29.5 2.05 0.4 36
326 -1.7 252.4 184.9 0.32 29.5 2.05 0.4 36
327 -1.67 253.7 186 0.29 29.5 2.03 0.4 36
328 -1.64 254.1 186.8 0.26 29.25 2.03 0.45 40.5
329 -1.6 256.4 187.5 0.23 29.25 2 0.45 40.5
330 -1.56 258.7 189.3 0.21 29.25 2 0.5 45
331 -1.52 260.9 190.9 0.18 29.25 2 0.5 45
